age,annual_income,spending_score,debt_ratio,credit_card_count,overdue_count_6m,credit_score,is_overdue
56,6454.0,48,0.58,6,1,403.0,0
30,5387.0,84,0.09,8,1,383.0,0
55,6599.0,79,0.78,7,1,277.0,1
36,5110.0,53,0.17,4,0,413.0,0
52,6660.0,81,0.08,4,0,535.0,0
28,5417.0,88,0.6,3,1,365.0,0
40,1500.0,74,0.93,4,1,192.0,1
46,5402.0,30,0.34,2,1,436.0,0
21,5640.0,69,0.01,3,3,298.0,0
34,7179.0,82,0.98,9,0,403.0,0
33,5875.0,21,0.7,3,0,414.0,0
27,4510.0,85,0.8,1,0,400.0,0
66,4132.0,68,0.34,6,0,440.0,0
39,7960.0,50,0.55,7,2,362.0,0
41,7527.0,53,0.92,6,0,430.0,0
37,5881.0,85,0.72,3,0,390.0,0
35,3407.0,75,0.04,7,2,302.0,0
31,1500.0,44,0.45,1,1,293.0,0
51,4550.0,64,0.5,1,0,403.0,0
29,5364.0,53,0.01,6,1,350.0,0
23,4127.0,74,0.18,9,0,450.0,0
60,2791.0,91,0.97,7,0,271.0,1
23,7217.0,39,0.22,3,0,495.0,0
31,5230.0,79,0.74,6,0,411.0,0
67,5907.0,16,0.94,6,0,327.0,0
47,7605.0,37,0.74,4,2,350.0,0
32,5113.0,59,0.21,4,1,397.0,0
44,7056.0,23,0.86,2,1,383.0,0
49,2044.0,15,0.39,7,2,303.0,0
69,8772.0,73,0.44,8,0,505.0,0
32,3388.0,21,0.64,6,0,349.0,0
41,4723.0,97,0.43,9,1,340.0,0
52,9224.0,77,0.93,2,0,465.0,0
38,7444.0,85,0.54,7,0,473.0,0
57,3356.0,93,0.08,4,0,403.0,0
38,7767.0,89,0.35,3,0,497.0,0
58,8004.0,36,0.65,6,0,516.0,0
33,7258.0,42,0.3,4,0,466.0,0
35,4394.0,70,0.27,3,0,403.0,0
49,3197.0,89,0.67,2,0,372.0,0
28,3818.0,99,0.6,8,1,332.0,0
58,6851.0,43,0.62,1,0,404.0,0
36,5989.0,25,0.08,4,0,484.0,0
27,4885.0,12,0.47,3,0,424.0,0
23,5214.0,25,0.69,7,0,330.0,0
28,4190.0,25,0.58,4,2,306.0,0
61,4915.0,37,0.22,7,0,452.0,0
53,3844.0,29,0.12,9,0,445.0,0
23,4500.0,61,0.64,2,1,274.0,1
24,4397.0,25,0.48,5,0,375.0,0
21,5951.0,46,0.19,2,1,385.0,0
61,3260.0,83,0.36,1,2,272.0,1
25,8927.0,29,0.03,8,1,579.0,0
46,4571.0,3,0.21,1,2,334.0,0
39,2470.0,78,0.39,7,0,328.0,0
23,5506.0,3,0.46,5,1,349.0,0
38,5998.0,75,0.5,7,0,423.0,0
42,2836.0,10,0.96,7,0,264.0,0
24,6184.0,97,0.58,5,0,408.0,0
54,5221.0,74,0.19,2,0,422.0,0
27,5862.0,99,0.46,1,1,411.0,0
59,3977.0,21,0.69,6,0,329.0,0
37,4484.0,99,0.74,5,0,336.0,0
68,2141.0,74,0.51,3,2,227.0,1
32,4245.0,36,0.78,2,0,291.0,1
30,6464.0,17,0.65,6,0,406.0,0
47,6263.0,76,0.09,8,0,491.0,0
24,5717.0,65,0.56,5,1,310.0,0
55,4515.0,69,0.31,2,0,381.0,0
57,3737.0,45,0.64,2,3,165.0,1
40,6827.0,44,0.01,7,0,502.0,0
25,4088.0,93,0.01,6,0,472.0,0
30,6990.0,48,0.71,7,0,414.0,0
64,1500.0,78,0.84,8,0,255.0,0
35,7342.0,14,0.52,5,1,437.0,0
31,6133.0,52,0.34,5,0,448.0,0
59,4878.0,21,0.54,2,0,298.0,0
64,3200.0,43,0.96,1,1,215.0,0
47,5908.0,90,0.97,1,0,344.0,0
55,6945.0,86,0.68,5,2,319.0,0
37,6899.0,36,0.84,3,0,400.0,0
38,4316.0,48,0.32,6,0,407.0,0
40,4823.0,59,0.73,5,1,349.0,0
34,6510.0,53,0.19,5,0,448.0,0
30,1500.0,2,0.45,8,1,292.0,0
58,6743.0,55,0.17,8,0,487.0,0
66,7804.0,4,0.49,6,1,434.0,0
42,5206.0,59,0.24,4,0,417.0,0
66,2462.0,12,0.81,6,0,397.0,0
59,3383.0,91,0.66,6,1,299.0,0
39,5380.0,10,0.93,3,1,296.0,0
66,1500.0,75,0.66,5,1,182.0,1
56,5877.0,6,0.73,9,0,467.0,0
31,4312.0,67,0.41,8,0,419.0,0
53,1500.0,59,0.85,9,3,127.0,1
20,6348.0,8,0.18,3,0,469.0,0
65,5369.0,76,0.64,8,1,335.0,0
42,5812.0,33,0.75,8,1,368.0,0
63,1826.0,64,0.25,2,1,272.0,1
24,3312.0,28,0.97,5,0,270.0,1
39,5466.0,21,0.3,7,1,347.0,0
61,4859.0,74,0.04,6,1,353.0,0
58,3989.0,5,0.47,9,0,356.0,0
32,7868.0,32,0.35,7,0,498.0,0
62,5070.0,15,0.61,9,1,345.0,0
33,8071.0,63,0.93,8,1,406.0,0
22,9355.0,99,0.86,5,0,467.0,0
35,4359.0,91,0.21,1,0,416.0,0
31,1500.0,44,0.94,6,2,122.0,1
20,1513.0,60,0.35,7,0,325.0,0
52,6316.0,55,0.51,2,2,361.0,0
56,5086.0,28,0.72,7,2,314.0,0
49,6061.0,64,0.65,9,0,428.0,0
64,1500.0,87,0.78,9,0,292.0,0
57,8425.0,93,0.1,5,0,523.0,0
44,4600.0,50,0.58,2,1,325.0,0
69,3439.0,72,0.93,5,0,336.0,0
34,5589.0,41,0.91,1,0,406.0,0
48,4748.0,86,0.02,4,0,401.0,0
22,5590.0,69,0.39,3,0,453.0,0
49,5600.0,49,0.18,8,0,467.0,0
24,5717.0,29,0.34,9,1,403.0,0
56,6313.0,64,0.02,1,0,497.0,0
34,8735.0,78,0.0,8,0,491.0,0
46,7823.0,15,0.09,9,0,474.0,0
27,2605.0,20,0.16,5,2,246.0,0
51,4274.0,80,0.93,6,0,330.0,0
55,5023.0,37,0.98,5,1,305.0,0
51,4106.0,41,0.39,1,0,374.0,0
34,5682.0,92,0.93,7,0,385.0,0
64,3184.0,82,0.05,7,0,480.0,0
57,5282.0,13,0.18,4,1,312.0,0
51,3365.0,30,0.76,3,1,267.0,1
23,5021.0,78,0.71,9,1,263.0,0
59,6779.0,67,0.62,8,0,442.0,0
61,2853.0,10,0.34,6,0,373.0,0
56,7771.0,26,0.96,4,1,402.0,0
66,5213.0,35,0.4,5,0,421.0,0
45,4041.0,67,0.75,9,1,326.0,0
35,4939.0,33,0.42,6,0,394.0,0
62,3480.0,64,0.32,9,1,288.0,1
24,1500.0,62,0.59,8,0,277.0,1
33,1500.0,14,0.37,6,0,312.0,0
63,5260.0,87,0.72,5,0,361.0,0
36,2211.0,3,0.43,2,1,320.0,0
42,4193.0,32,0.38,4,1,341.0,0
37,6551.0,57,0.57,2,0,432.0,0
62,8054.0,89,0.85,3,0,456.0,0
28,6011.0,16,0.91,3,0,390.0,0
59,6581.0,59,0.96,7,2,310.0,0
50,3750.0,96,0.71,1,0,311.0,0
44,5156.0,4,0.47,2,0,402.0,0
47,4637.0,16,0.77,8,1,373.0,0
64,5036.0,74,0.84,6,0,291.0,1
49,6061.0,91,0.34,5,0,451.0,0
34,3945.0,18,0.39,2,1,303.0,0
38,6323.0,44,0.96,7,2,251.0,1
66,2200.0,50,0.0,5,0,375.0,0
68,5093.0,69,0.42,6,1,322.0,0
31,4061.0,93,0.56,3,1,255.0,1
42,7309.0,80,0.68,5,0,459.0,0
21,5656.0,53,0.72,3,0,380.0,0
64,1500.0,44,0.12,2,0,337.0,0
34,6292.0,82,0.62,4,0,406.0,0
41,5900.0,23,0.96,5,0,348.0,0
49,4396.0,37,0.23,6,0,349.0,0
55,4476.0,79,0.22,7,0,423.0,0
38,5084.0,96,0.96,3,0,356.0,0
21,8408.0,43,0.69,7,0,457.0,0
62,5184.0,90,0.56,2,3,217.0,1
22,5390.0,87,0.44,4,0,435.0,0
31,5321.0,32,0.48,2,1,400.0,0
20,8489.0,16,0.49,6,2,413.0,0
26,3961.0,99,0.35,1,0,405.0,0
57,4132.0,81,0.93,4,0,290.0,1
59,5026.0,73,0.01,5,0,454.0,0
35,5523.0,66,0.79,3,0,407.0,0
52,5075.0,56,0.85,1,0,412.0,0
54,2948.0,98,0.72,4,1,292.0,0
42,1500.0,23,0.99,7,0,200.0,1
38,5879.0,94,0.86,1,1,347.0,0
36,6908.0,99,0.64,6,1,364.0,0
67,5912.0,95,0.3,2,0,452.0,0
36,3746.0,76,0.03,1,0,430.0,0
38,2507.0,49,0.68,1,0,314.0,0
41,1500.0,67,0.34,4,1,270.0,1
20,5265.0,30,0.73,5,0,359.0,0
40,5361.0,81,0.08,5,0,417.0,0
59,5657.0,59,0.58,6,1,383.0,0
67,2376.0,19,0.06,4,0,380.0,0
62,3091.0,43,0.83,2,0,284.0,0
38,9719.0,43,0.96,8,1,448.0,0
60,6218.0,62,0.41,4,1,423.0,0
25,4843.0,44,0.09,7,0,430.0,0
54,1500.0,24,0.64,2,3,130.0,0
59,7026.0,61,0.29,8,0,503.0,0
45,4468.0,17,0.27,1,0,409.0,0
28,6117.0,64,0.18,9,0,513.0,0
24,6376.0,85,0.98,8,0,410.0,0
41,6944.0,35,0.7,1,1,411.0,0
41,6786.0,15,0.04,9,0,517.0,0
57,5599.0,99,0.48,6,0,419.0,0
57,9200.0,9,0.45,4,0,511.0,0
41,6177.0,82,0.47,8,0,460.0,0
29,3696.0,31,0.94,8,1,256.0,1
28,5228.0,94,0.89,5,0,355.0,0
59,3382.0,1,0.27,2,0,351.0,0
27,3926.0,14,0.05,9,0,385.0,0
56,4322.0,65,0.99,2,0,301.0,0
64,7548.0,89,0.32,7,2,461.0,0
42,10047.0,24,0.27,1,1,562.0,0
56,6887.0,4,0.42,9,0,495.0,0
55,2399.0,74,0.72,8,1,209.0,1
24,5532.0,9,0.3,4,0,425.0,0
22,2566.0,36,0.86,2,1,246.0,1
31,6389.0,20,0.18,7,2,340.0,0
39,4404.0,9,0.64,2,0,388.0,0
60,4430.0,4,0.95,6,1,291.0,1
67,4614.0,93,0.73,7,0,380.0,0
67,5331.0,63,0.14,9,1,387.0,0
48,4657.0,6,0.23,7,0,436.0,0
46,3328.0,89,0.89,3,0,341.0,0
22,4544.0,50,0.92,3,0,288.0,1
37,4203.0,17,0.57,9,1,284.0,1
67,6731.0,20,0.35,5,0,440.0,0
45,3619.0,1,0.2,4,0,390.0,0
44,4713.0,51,0.41,2,0,449.0,0
43,2962.0,63,0.54,7,0,392.0,0
47,4811.0,45,0.02,5,1,449.0,0
59,6366.0,4,0.52,3,0,427.0,0
37,3340.0,69,0.38,2,1,295.0,0
35,1500.0,44,0.39,7,2,193.0,1
64,4721.0,14,0.51,7,1,347.0,0
55,4443.0,74,0.82,6,0,358.0,0
44,5680.0,74,0.24,7,2,315.0,0
47,4376.0,78,0.27,8,1,376.0,0
69,6731.0,72,0.86,3,0,463.0,0
44,3361.0,35,0.34,8,0,394.0,0
25,7812.0,86,0.19,4,2,449.0,0
49,3748.0,16,0.94,1,0,314.0,0
30,5040.0,68,0.9,5,1,298.0,0
38,4336.0,91,0.89,2,1,291.0,0
40,3933.0,78,0.04,6,0,443.0,0
49,3670.0,62,0.19,9,0,435.0,0
34,4509.0,35,0.31,7,0,395.0,0
54,3777.0,81,0.51,6,2,249.0,1
29,5678.0,50,0.15,2,0,451.0,0
20,3878.0,18,0.98,3,1,219.0,1
65,3525.0,20,0.6,4,0,346.0,0
54,3328.0,89,0.31,6,1,283.0,0
28,4133.0,1,0.79,3,0,315.0,0
66,5331.0,58,0.6,9,0,385.0,0
33,5620.0,48,0.62,4,0,363.0,0
40,6186.0,76,0.71,6,0,425.0,0
50,4552.0,91,0.71,2,0,370.0,0
66,3505.0,41,0.73,1,0,339.0,0
51,7190.0,38,0.79,9,0,482.0,0
60,4382.0,12,0.16,4,0,384.0,0
58,3963.0,83,0.26,1,0,377.0,0
49,2612.0,3,0.7,9,0,321.0,0
35,3823.0,55,0.99,5,0,302.0,0
23,8738.0,82,0.26,1,0,574.0,0
39,4494.0,21,0.56,7,1,310.0,0
55,3849.0,56,0.8,8,0,314.0,0
58,4575.0,63,0.36,7,1,286.0,0
28,5125.0,79,0.99,6,0,383.0,0
36,6016.0,15,0.25,4,1,499.0,0
33,4485.0,43,0.99,2,0,354.0,0
46,2940.0,14,0.83,2,0,343.0,0
40,1500.0,88,0.01,2,2,221.0,0
42,6575.0,91,0.52,6,1,410.0,0
30,5165.0,66,0.81,2,0,372.0,0
39,4214.0,60,0.2,4,0,410.0,0
28,6916.0,19,0.8,9,0,447.0,0
36,5845.0,39,0.49,8,1,388.0,0
66,6377.0,70,0.94,9,0,405.0,0
58,5024.0,8,0.72,3,1,363.0,0
51,6480.0,70,0.15,8,1,437.0,0
53,3219.0,86,0.29,2,0,350.0,0
41,6684.0,68,0.32,5,0,430.0,0
31,5504.0,12,0.21,5,2,320.0,0
58,5596.0,72,0.45,3,0,414.0,0
69,6319.0,5,0.34,1,0,416.0,0
65,1749.0,68,0.98,9,0,281.0,0
55,5842.0,16,0.34,3,1,369.0,0
59,7656.0,34,0.38,6,1,442.0,0
59,5314.0,78,0.5,2,1,344.0,0
58,9852.0,5,0.23,4,1,532.0,0
43,2911.0,16,0.76,4,0,299.0,0
55,3905.0,32,0.24,3,0,406.0,0
22,1986.0,68,0.89,1,1,210.0,1
24,4374.0,77,0.08,7,0,422.0,0
60,3681.0,30,0.01,8,1,367.0,0
44,4940.0,89,0.04,4,0,432.0,0
20,3332.0,72,0.36,3,0,355.0,0
41,5430.0,95,0.23,7,0,418.0,0
67,6155.0,12,0.97,6,0,373.0,0
32,9223.0,19,0.48,8,0,585.0,0
43,4318.0,86,0.4,2,0,370.0,0
69,5071.0,15,0.53,8,0,445.0,0
52,5428.0,86,0.25,3,3,320.0,0
52,3691.0,30,0.21,5,0,377.0,0
53,8668.0,20,0.42,6,0,516.0,0
57,5746.0,13,0.36,8,0,438.0,0
64,5039.0,2,0.07,7,0,421.0,0
23,6606.0,55,0.05,4,0,512.0,0
47,8071.0,5,0.93,6,0,426.0,0
63,4918.0,75,0.13,2,1,425.0,0
44,4990.0,56,0.37,2,1,372.0,0
48,2904.0,30,0.85,8,0,328.0,0
69,1500.0,55,0.13,3,0,339.0,0
47,2409.0,3,0.67,1,0,323.0,0
32,5960.0,93,0.49,7,1,433.0,0
44,6002.0,84,0.82,6,1,300.0,0
40,3045.0,44,0.05,3,0,412.0,0
29,4367.0,74,0.88,8,1,264.0,1
52,5205.0,1,0.68,6,0,338.0,0
57,3368.0,99,0.51,6,0,415.0,0
47,5138.0,26,0.8,6,0,424.0,0
23,5062.0,19,0.22,6,1,357.0,0
26,8603.0,19,0.78,4,0,515.0,0
42,3602.0,83,0.85,5,2,236.0,0
36,8081.0,92,0.73,3,0,446.0,0
52,5367.0,38,0.3,5,0,427.0,0
36,4785.0,5,0.74,1,2,294.0,0
24,6575.0,24,0.21,6,1,413.0,0
48,1851.0,40,0.94,9,0,277.0,1
35,4588.0,57,0.7,1,0,391.0,0
51,4334.0,38,0.45,8,0,366.0,0
47,6495.0,35,0.36,8,0,420.0,0
45,2274.0,65,0.61,8,0,291.0,1
63,6252.0,60,0.3,8,0,437.0,0
30,4075.0,1,0.5,4,0,343.0,0
44,5216.0,10,0.25,7,0,381.0,0
52,4663.0,66,0.92,2,0,287.0,1
20,5947.0,16,0.35,2,0,437.0,0
33,2106.0,33,0.81,3,2,183.0,1
50,4005.0,35,0.26,2,0,394.0,0
47,4527.0,20,0.33,9,0,394.0,0
47,2998.0,73,0.91,7,0,279.0,1
64,2429.0,98,0.89,8,1,238.0,1
60,6140.0,29,0.23,6,0,434.0,0
69,1500.0,47,0.63,1,1,255.0,1
61,5215.0,4,0.97,4,0,323.0,0
54,5800.0,83,0.02,8,0,485.0,0
36,5514.0,56,0.88,1,1,362.0,0
44,2211.0,53,0.98,2,0,303.0,0
56,3801.0,48,0.55,2,0,378.0,0
53,6380.0,55,0.62,4,0,439.0,0
55,6011.0,89,0.16,5,0,503.0,0
44,5036.0,56,0.93,3,0,380.0,0
23,3925.0,28,0.66,1,0,334.0,0
33,6534.0,5,0.08,6,0,431.0,0
35,7677.0,58,0.36,2,0,460.0,0
67,7690.0,63,0.32,5,0,513.0,0
63,4594.0,41,0.06,4,1,353.0,0
35,6237.0,69,0.45,7,0,412.0,0
65,4280.0,99,0.87,2,2,239.0,1
62,6924.0,19,0.39,3,0,419.0,0
43,6513.0,43,0.64,8,0,401.0,0
61,5576.0,16,0.1,6,0,491.0,0
52,4771.0,56,0.85,8,2,270.0,1
20,8180.0,61,0.29,7,2,440.0,0
33,3475.0,35,0.18,6,0,407.0,0
53,5131.0,63,0.9,2,0,304.0,0
31,2863.0,59,0.47,3,0,377.0,0
30,4175.0,28,0.02,9,0,472.0,0
58,5067.0,35,0.21,9,1,372.0,0
28,6644.0,2,0.22,8,0,477.0,0
66,2991.0,13,0.93,5,1,280.0,1
22,3638.0,2,0.17,3,2,337.0,0
29,7866.0,89,0.08,8,1,501.0,0
66,8422.0,32,0.39,4,1,477.0,0
68,5458.0,2,0.66,2,1,305.0,0
58,6208.0,31,0.48,7,1,379.0,0
64,5061.0,22,0.84,9,1,304.0,0
54,3515.0,9,0.84,1,1,251.0,1
65,3594.0,95,0.39,5,0,322.0,0
64,5651.0,11,0.46,9,1,311.0,0
55,9355.0,16,0.66,3,0,549.0,0
27,5593.0,49,0.74,7,1,347.0,0
53,4194.0,95,0.76,6,0,348.0,0
36,7247.0,97,0.65,2,1,397.0,0
57,6559.0,77,0.54,1,0,424.0,0
68,7061.0,42,0.2,5,0,463.0,0
60,5454.0,13,0.54,9,1,416.0,0
55,2975.0,11,0.66,3,1,266.0,1
60,5111.0,10,0.66,4,0,364.0,0
57,3811.0,57,0.71,9,1,288.0,1
48,7393.0,40,0.02,8,1,501.0,0
31,3507.0,81,0.12,9,1,395.0,0
22,3738.0,33,0.64,8,0,375.0,0
41,1990.0,29,0.6,2,0,275.0,1
48,6615.0,23,0.81,9,1,381.0,0
69,2467.0,33,0.11,1,2,236.0,1
51,5804.0,3,0.82,9,0,371.0,0
47,4851.0,58,0.04,9,0,478.0,0
37,7345.0,11,0.79,8,0,441.0,0
30,1500.0,69,0.86,7,3,117.0,1
64,4985.0,79,0.76,8,0,376.0,0
42,9584.0,52,0.16,6,1,537.0,0
67,2255.0,37,0.47,5,1,248.0,1
60,8179.0,57,0.52,2,1,466.0,0
66,6795.0,59,0.43,7,0,460.0,0
50,3279.0,87,0.16,4,1,319.0,0
22,6760.0,97,0.53,2,0,422.0,0
21,3900.0,36,0.67,8,0,338.0,0
54,5454.0,12,0.94,7,0,397.0,0
44,2964.0,44,0.85,1,0,315.0,0
30,6117.0,39,0.31,4,0,469.0,0
51,3798.0,10,0.7,2,0,370.0,0
32,7390.0,67,0.51,8,1,400.0,0
27,5496.0,70,0.75,7,1,408.0,0
44,2453.0,9,0.03,5,0,387.0,0
58,6147.0,64,0.83,9,1,345.0,0
33,7226.0,90,0.77,8,2,410.0,0
26,4213.0,58,0.2,9,2,306.0,0
31,4747.0,53,0.78,6,1,286.0,1
65,3069.0,24,0.57,1,0,393.0,0
42,4001.0,94,0.84,6,1,251.0,1
37,5513.0,17,0.39,8,2,324.0,0
49,7766.0,90,0.53,8,0,450.0,0
33,4894.0,8,0.92,7,1,301.0,0
51,3743.0,91,0.32,3,0,437.0,0
44,4128.0,93,0.02,1,1,375.0,0
31,6508.0,22,0.68,9,1,407.0,0
46,3806.0,8,0.08,8,0,409.0,0
66,1500.0,33,0.87,3,0,227.0,1
48,3005.0,41,0.96,9,0,299.0,0
32,6176.0,82,0.41,9,1,401.0,0
44,2510.0,11,0.59,4,1,268.0,1
22,4741.0,21,0.88,1,1,326.0,0
23,6277.0,98,0.82,5,2,298.0,0
68,4384.0,90,0.73,4,0,302.0,0
35,4429.0,80,0.68,1,1,326.0,0
50,4474.0,39,0.99,9,1,283.0,1
62,3399.0,74,0.3,5,0,382.0,0
58,1585.0,68,0.28,4,1,295.0,0
59,3621.0,80,0.49,2,0,339.0,0
65,6021.0,4,0.48,3,0,417.0,0
55,4902.0,76,0.5,3,0,420.0,0
28,3952.0,58,0.15,8,2,258.0,1
49,2121.0,95,0.82,8,1,214.0,1
56,6274.0,18,0.54,3,0,420.0,0
41,3761.0,52,0.63,2,1,309.0,0
59,6449.0,32,0.93,9,0,409.0,0
64,5677.0,44,0.92,6,0,433.0,0
67,1500.0,65,0.53,7,0,263.0,1
25,6387.0,41,0.46,4,0,349.0,0
56,4249.0,4,0.35,6,2,273.0,1
36,8782.0,60,0.81,6,0,472.0,0
43,6445.0,17,0.54,4,0,417.0,0
38,2534.0,51,0.19,1,0,382.0,0
45,4158.0,5,0.12,2,0,413.0,0
61,2859.0,99,0.8,2,2,188.0,1
60,6569.0,27,0.61,4,0,389.0,0
31,1500.0,6,0.48,6,0,330.0,0
54,2823.0,60,0.22,3,1,286.0,1
43,8125.0,61,0.33,6,0,519.0,0
59,7110.0,66,0.37,7,1,425.0,0
44,4976.0,6,0.26,1,1,380.0,0
47,5222.0,44,0.67,9,1,357.0,0
37,9044.0,82,0.75,9,0,574.0,0
21,3387.0,24,0.24,5,0,325.0,0
53,3191.0,85,0.84,3,0,308.0,0
20,5460.0,65,0.67,3,0,410.0,0
41,2268.0,84,0.05,2,1,294.0,0
49,3906.0,94,0.34,8,2,240.0,1
55,5857.0,44,0.17,3,1,421.0,0
26,4663.0,29,0.87,9,1,288.0,1
35,3671.0,5,0.67,3,0,321.0,0
42,4813.0,90,0.65,2,0,367.0,0
40,7537.0,89,0.02,2,0,544.0,0
38,5244.0,4,0.52,9,0,416.0,0
58,2111.0,44,0.06,3,1,292.0,0
56,6369.0,16,0.46,3,1,420.0,0
27,3818.0,65,0.33,1,1,355.0,0
45,4821.0,63,0.17,5,0,461.0,0
41,6327.0,14,0.34,6,0,443.0,0
48,7054.0,5,0.98,8,0,420.0,0
32,3098.0,58,0.93,6,1,245.0,1
62,2661.0,93,0.58,6,1,246.0,1
51,5433.0,61,0.47,9,0,443.0,0
58,5855.0,25,0.08,4,1,408.0,0
46,4925.0,58,0.7,3,0,366.0,0
48,5421.0,3,0.29,5,0,421.0,0
21,7951.0,53,0.95,3,1,403.0,0
52,8906.0,27,0.79,4,0,502.0,0
68,6130.0,56,0.88,7,0,373.0,0
41,3414.0,91,0.28,3,0,378.0,0
43,6567.0,33,0.56,9,2,370.0,0
56,4947.0,66,0.92,9,1,296.0,0
60,8611.0,19,0.13,7,2,445.0,0
69,7174.0,34,0.84,1,0,424.0,0
49,3502.0,12,0.33,7,2,234.0,0
62,6228.0,63,0.15,2,1,477.0,0
23,4907.0,9,0.3,5,0,402.0,0
27,2676.0,45,0.13,5,0,387.0,0
53,8145.0,27,0.87,8,2,391.0,0
34,4729.0,54,0.45,1,0,376.0,0
64,3516.0,53,0.84,4,0,301.0,0
38,3446.0,75,0.67,2,3,212.0,1
23,6183.0,22,0.74,3,0,457.0,0
31,7163.0,42,0.91,4,0,411.0,0
38,6174.0,72,0.66,3,2,325.0,0
24,7489.0,54,0.65,8,0,512.0,0
34,4033.0,53,0.85,2,1,274.0,0
26,4450.0,69,0.62,1,0,366.0,0
32,6498.0,88,0.14,6,1,434.0,0
40,4304.0,8,0.92,1,1,267.0,1
36,9292.0,26,0.18,5,0,554.0,0
26,6115.0,67,0.75,9,0,442.0,0
34,6480.0,30,0.09,3,0,467.0,0
39,8174.0,19,0.24,7,1,500.0,0
33,5805.0,81,0.82,5,1,311.0,0
68,4793.0,40,0.19,9,1,361.0,0
54,6145.0,90,0.02,8,1,415.0,0
28,5686.0,16,0.53,7,0,410.0,0
56,6214.0,97,0.02,8,1,413.0,0
30,9615.0,66,0.51,3,0,542.0,0
67,5640.0,7,0.83,8,0,468.0,0
30,1500.0,42,0.69,9,1,185.0,1
65,4937.0,82,0.7,9,1,297.0,0
44,6955.0,81,0.38,6,0,459.0,0
63,5518.0,50,0.07,3,0,389.0,0
64,2459.0,85,0.23,6,1,278.0,1
45,5155.0,4,0.6,8,0,424.0,0
48,5199.0,66,0.28,7,0,432.0,0
52,3627.0,36,0.28,8,0,381.0,0
25,7164.0,53,0.55,5,0,463.0,0
40,4079.0,34,0.05,3,3,221.0,1
66,3745.0,7,0.77,2,2,292.0,0
41,2669.0,65,0.85,6,0,315.0,0
37,5023.0,97,0.13,3,0,403.0,0
63,6991.0,97,0.76,8,0,483.0,0
21,5055.0,70,0.38,2,0,467.0,0
21,5832.0,2,0.23,1,0,439.0,0
60,5435.0,30,0.07,8,2,321.0,0
50,7077.0,27,0.35,2,0,482.0,0
61,1500.0,15,0.86,3,0,242.0,1
32,5522.0,31,0.48,2,0,420.0,0
69,3459.0,87,1.0,5,0,315.0,0
45,3272.0,99,0.33,4,0,357.0,0
36,4130.0,12,0.31,5,4,195.0,1
57,6752.0,92,0.88,3,0,439.0,0
42,5280.0,67,0.46,7,2,304.0,0
66,3337.0,79,0.29,5,1,301.0,0
69,6899.0,47,0.82,6,1,395.0,0
24,8563.0,81,0.71,1,0,544.0,0
33,6918.0,99,0.22,7,0,495.0,0
67,3213.0,33,0.17,7,1,297.0,0
55,3046.0,35,0.03,6,0,395.0,0
36,2006.0,38,0.81,7,0,324.0,0
67,6836.0,53,0.58,6,0,395.0,0
64,9243.0,66,0.42,4,0,562.0,0
52,1552.0,44,0.62,9,1,244.0,1
37,3554.0,14,0.23,8,0,375.0,0
67,2671.0,54,0.81,6,1,247.0,0
55,3258.0,62,0.3,8,2,272.0,1
29,5855.0,14,0.22,6,2,329.0,0
55,4886.0,99,0.59,9,0,376.0,0
51,2722.0,95,0.36,5,0,367.0,0
39,6415.0,87,0.4,6,0,414.0,0
67,6928.0,58,0.71,3,0,440.0,0
48,5012.0,96,0.24,2,0,354.0,0
45,8574.0,33,0.67,9,0,514.0,0
21,5583.0,64,0.93,6,0,392.0,0
47,2178.0,8,0.67,3,0,259.0,0
69,6893.0,94,0.78,7,0,417.0,0
23,6573.0,65,0.15,2,0,515.0,0
22,4777.0,11,0.73,1,1,312.0,0
38,1500.0,27,0.82,8,0,287.0,1
56,3526.0,19,0.77,9,0,301.0,0
63,5927.0,13,0.38,8,0,432.0,0
46,5784.0,12,0.12,6,1,418.0,0
49,5912.0,93,0.16,1,2,346.0,0
61,2847.0,6,0.07,3,1,319.0,0
62,3919.0,79,0.89,6,0,340.0,0
46,3420.0,36,0.44,8,0,328.0,0
53,4441.0,42,0.8,8,0,351.0,0
31,6047.0,27,0.12,6,0,488.0,0
50,7163.0,5,0.52,1,0,534.0,0
50,2437.0,55,0.5,9,0,341.0,0
23,3199.0,50,0.57,6,0,291.0,1
46,5896.0,68,0.71,4,1,401.0,0
33,10836.0,15,0.0,6,0,594.0,0
51,2132.0,9,0.83,3,0,290.0,1
52,2836.0,74,0.24,7,0,359.0,0
58,5946.0,19,0.84,6,0,369.0,0
24,1500.0,27,0.36,7,0,297.0,0
28,4400.0,35,0.31,6,0,387.0,0
54,6642.0,82,0.09,1,0,469.0,0
30,5657.0,21,0.62,5,0,434.0,0
40,4611.0,83,0.37,6,0,442.0,0
53,4772.0,92,0.8,1,0,404.0,0
23,7394.0,61,0.02,5,1,466.0,0
23,4646.0,54,0.59,1,1,311.0,0
56,7518.0,75,0.56,3,0,463.0,0
30,3222.0,79,0.1,3,0,421.0,0
24,6851.0,59,0.08,4,2,452.0,0
55,5254.0,12,0.32,2,0,414.0,0
64,5093.0,84,0.38,2,0,464.0,0
63,2938.0,6,0.99,4,2,160.0,1
20,3972.0,85,0.48,1,1,298.0,0
69,4641.0,72,0.42,4,0,393.0,0
36,1651.0,55,0.59,5,0,298.0,0
